N,SortedVector Add,LinkedList Add,BST Add,SortedVector Search,LinkedList Search,BST Search,SortedVector Save,SortedList Save, BST Save,SortedVector Remove,SortedList Remove,BST Remove,Vector Add Front,LinkedList Add Front,Vector Add Back,LinkedList Add Back,Vector Remove Front,LinkedList Remove Front,Vector Remove Back,LinkedList Remove Back,Vector Get,LinkedList Get
1000.000000,0.003535,0.002770,0.000309,0.000343,0.002363,0.000271,0.000140,0.000124,0.000132,0.000544,0.001673,0.000447,0.000707,0.000028,0.000008,0.000026,0.000868,0.000033,0.000006,0.000775,0.000004,0.000407
2000.000000,0.010396,0.006954,0.000560,0.000523,0.007553,0.000500,0.000206,0.000191,0.000208,0.001438,0.005649,0.000844,0.002185,0.000048,0.000012,0.000049,0.002365,0.000056,0.000010,0.002164,0.000007,0.001429
3000.000000,0.021283,0.014670,0.000835,0.000787,0.019566,0.000887,0.000311,0.000297,0.000335,0.003209,0.015243,0.001488,0.005061,0.000059,0.000026,0.000061,0.005442,0.000079,0.000016,0.004755,0.000012,0.003470
4000.000000,0.038325,0.027373,0.001152,0.001129,0.038401,0.001131,0.000382,0.000369,0.000422,0.005079,0.029961,0.001972,0.008613,0.000082,0.000036,0.000077,0.009423,0.000098,0.000022,0.008406,0.000015,0.006173
5000.000000,0.061258,0.044126,0.001487,0.001414,0.057888,0.001461,0.000455,0.000430,0.000489,0.007370,0.046350,0.002529,0.013467,0.000105,0.000047,0.000110,0.014848,0.000128,0.000028,0.013595,0.000019,0.009983
6000.000000,0.090207,0.064177,0.001837,0.001739,0.084032,0.001814,0.000541,0.000515,0.000574,0.010445,0.068888,0.003332,0.023631,0.000144,0.000041,0.000127,0.025180,0.000152,0.000030,0.018845,0.000023,0.015092
7000.000000,0.120775,0.085739,0.002208,0.002048,0.097398,0.002176,0.000606,0.000591,0.000668,0.014340,0.083410,0.003807,0.031799,0.000436,0.000049,0.000146,0.034037,0.000185,0.000036,0.025746,0.000029,0.023674
8000.000000,0.155102,0.112981,0.002549,0.002385,0.127779,0.002600,0.000693,0.000695,0.000758,0.018569,0.112870,0.004397,0.034619,0.000214,0.000051,0.000173,0.038088,0.000223,0.000040,0.035152,0.000025,0.063477
9000.000000,0.196648,0.139824,0.002933,0.002738,0.155941,0.002909,0.000765,0.000741,0.000850,0.023527,0.138985,0.005036,0.043625,0.000190,0.000059,0.000188,0.047689,0.000222,0.000046,0.044445,0.000025,0.038544
9999.000000,0.243527,0.175675,0.003352,0.003088,0.195112,0.003289,0.000845,0.000824,0.000993,0.029037,0.177496,0.005650,0.064009,0.000247,0.000070,0.000228,0.070460,0.000323,0.000055,0.060277,0.000026,0.081562
